Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue,treatments,Time
SRR9623140,RNA-Seq,75,1243101203,PRJNA552042,SAMN12173267,444426085,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6385661,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913011,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
SRR9623141,RNA-Seq,75,979606015,PRJNA552042,SAMN12173266,350344338,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6385662,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913012,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
SRR9623142,RNA-Seq,75,919496137,PRJNA552042,SAMN12173265,327767509,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6385663,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913013,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
SRR9623143,RNA-Seq,75,870432539,PRJNA552042,SAMN12173264,309884964,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6385664,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913014,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,2h
SRR9623144,RNA-Seq,75,713929749,PRJNA552042,SAMN12173263,254193266,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6385665,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913015,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623145,RNA-Seq,75,917067678,PRJNA552042,SAMN12173262,325702816,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6385666,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913016,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623146,RNA-Seq,75,734865041,PRJNA552042,SAMN12173261,266619569,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6385667,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913017,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623147,RNA-Seq,75,721534030,PRJNA552042,SAMN12173260,261451336,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6385668,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913018,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623148,RNA-Seq,75,709366473,PRJNA552042,SAMN12173259,256723558,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6385669,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:35:00Z,1,GSM3913019,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623149,RNA-Seq,75,926854269,PRJNA552042,SAMN12173258,333352763,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6385670,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913020,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,2h
SRR9623150,RNA-Seq,75,1901811757,PRJNA552042,SAMN12173257,685929713,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6385671,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:40:00Z,1,GSM3913021,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,4h
SRR9623151,RNA-Seq,75,734198015,PRJNA552042,SAMN12173256,263317888,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6385672,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913022,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,4h
SRR9623152,RNA-Seq,75,969162756,PRJNA552042,SAMN12173255,346982222,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6385673,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913023,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,4h
SRR9623153,RNA-Seq,75,762866811,PRJNA552042,SAMN12173254,274213962,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX6385674,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913024,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,4h
SRR9623154,RNA-Seq,75,764803737,PRJNA552042,SAMN12173253,272887265,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6385675,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913025,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,4h
SRR9623155,RNA-Seq,75,1388517284,PRJNA552042,SAMN12173252,496999213,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX6385676,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913026,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,4h
SRR9623156,RNA-Seq,75,842325766,PRJNA552042,SAMN12173251,301979271,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385677,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913027,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,4h
SRR9623157,RNA-Seq,75,895138402,PRJNA552042,SAMN12173250,320158336,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6385678,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913028,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,4h
SRR9623158,RNA-Seq,75,699067435,PRJNA552042,SAMN12173249,248193574,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6385679,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913029,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,4h
SRR9623159,RNA-Seq,75,916583612,PRJNA552042,SAMN12173280,325195713,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6385680,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913030,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,4h
SRR9623160,RNA-Seq,75,891642351,PRJNA552042,SAMN12173279,316200435,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385681,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913031,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,8h
SRR9623161,RNA-Seq,75,899048871,PRJNA552042,SAMN12173278,320474258,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6385682,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913032,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,8h
SRR9623162,RNA-Seq,75,992631547,PRJNA552042,SAMN12173277,358745323,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385683,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913033,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,8h
SRR9623163,RNA-Seq,75,834446995,PRJNA552042,SAMN12173276,297357113,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6385684,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913034,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,8h
SRR9623164,RNA-Seq,75,1064942841,PRJNA552042,SAMN12173275,379812454,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6385685,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913035,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,8h
SRR9623165,RNA-Seq,75,750681762,PRJNA552042,SAMN12173274,269613004,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX6385686,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:36:00Z,1,GSM3913036,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,8h
SRR9623166,RNA-Seq,75,692801257,PRJNA552042,SAMN12173273,246864116,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6385687,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913037,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,8h
SRR9623167,RNA-Seq,75,680813570,PRJNA552042,SAMN12173272,243873475,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6385688,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913038,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,8h
SRR9623168,RNA-Seq,75,898596323,PRJNA552042,SAMN12173271,387589071,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6385689,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913039,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,10h
SRR9623169,RNA-Seq,75,1328973389,PRJNA552042,SAMN12173270,573103600,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6385690,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:40:00Z,1,GSM3913040,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,10h
SRR9623170,RNA-Seq,75,758730234,PRJNA552042,SAMN12173173,327199889,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6385691,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913041,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,10h
SRR9623171,RNA-Seq,75,776530587,PRJNA552042,SAMN12173172,336012178,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6385692,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:37:00Z,1,GSM3913042,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,10h
SRR9623172,RNA-Seq,75,838275091,PRJNA552042,SAMN12173171,361052160,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385693,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913043,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,10h
SRR9623173,RNA-Seq,75,893048824,PRJNA552042,SAMN12173170,385638114,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6385694,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913044,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,10h
SRR9623174,RNA-Seq,75,1295163204,PRJNA552042,SAMN12173169,558411622,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6385695,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:40:00Z,1,GSM3913045,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,10h
SRR9623175,RNA-Seq,75,878804487,PRJNA552042,SAMN12173168,379272009,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6385696,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913046,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,10h
SRR9623176,RNA-Seq,75,1045662576,PRJNA552042,SAMN12173167,450168149,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6385697,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913047,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,12h
SRR9623177,RNA-Seq,75,869433471,PRJNA552042,SAMN12173166,374799011,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6385698,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913048,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,12h
SRR9623178,RNA-Seq,75,882905500,PRJNA552042,SAMN12173165,380401568,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6385699,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:38:00Z,1,GSM3913049,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,12h
SRR9623179,RNA-Seq,75,1140167739,PRJNA552042,SAMN12173164,493964886,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6385700,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913050,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,12h
SRR9623180,RNA-Seq,75,765475634,PRJNA552042,SAMN12173163,329930563,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6385701,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:40:00Z,1,GSM3913051,2-3mm segment of root,SRP212693,2-3mm segment of root,mock,12h
SRR9623181,RNA-Seq,75,792159238,PRJNA552042,SAMN12173162,343206168,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6385702,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913052,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,12h
SRR9623182,RNA-Seq,75,766158573,PRJNA552042,SAMN12173161,335952831,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6385703,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913053,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,12h
SRR9623183,RNA-Seq,75,898990591,PRJNA552042,SAMN12173160,391668291,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6385704,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913054,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,12h
SRR9623184,RNA-Seq,75,786605792,PRJNA552042,SAMN12173159,344035941,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6385705,wild type ecotype jemalong cultivar Jester,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Medicago truncatula,ILLUMINA,2019-09-20T00:00:00Z,2019-07-02T17:39:00Z,1,GSM3913055,2-3mm segment of root,SRP212693,2-3mm segment of root,Sinorhizobium meliloti strain 2011,12h
