Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue,Cultivar,Strain,type-material,Ecotype
SRR8617287,8-week-old,RNA-Seq,75,423929278,PRJNA524006,SAMN10995016,162892458,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416229,GSM3619426,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619426,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617288,8-week-old,RNA-Seq,75,423506148,PRJNA524006,SAMN10995016,163022936,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416229,GSM3619426,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619426,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617289,8-week-old,RNA-Seq,75,429971834,PRJNA524006,SAMN10995015,164863804,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416230,GSM3619427,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619427,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617290,8-week-old,RNA-Seq,75,421450264,PRJNA524006,SAMN10995015,161529902,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416230,GSM3619427,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619427,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617291,8-week-old,RNA-Seq,75,435341550,PRJNA524006,SAMN10995015,167752013,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416230,GSM3619427,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619427,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617292,8-week-old,RNA-Seq,75,434625846,PRJNA524006,SAMN10995015,167805604,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416230,GSM3619427,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619427,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617293,8-week-old,RNA-Seq,75,438987976,PRJNA524006,SAMN10995014,168190278,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416231,GSM3619428,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619428,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617294,8-week-old,RNA-Seq,75,430190785,PRJNA524006,SAMN10995014,164800239,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416231,GSM3619428,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619428,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617295,8-week-old,RNA-Seq,75,443538739,PRJNA524006,SAMN10995014,170777429,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416231,GSM3619428,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619428,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617296,8-week-old,RNA-Seq,75,443033064,PRJNA524006,SAMN10995014,170924031,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416231,GSM3619428,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619428,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617297,8-week-old,RNA-Seq,75,424112730,PRJNA524006,SAMN10995013,163032362,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416232,GSM3619429,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619429,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617298,8-week-old,RNA-Seq,75,416560666,PRJNA524006,SAMN10995013,160096638,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416232,GSM3619429,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619429,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617299,8-week-old,RNA-Seq,75,429574419,PRJNA524006,SAMN10995013,165955413,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416232,GSM3619429,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619429,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617300,8-week-old,RNA-Seq,75,429532184,PRJNA524006,SAMN10995013,166265144,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416232,GSM3619429,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619429,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617301,8-week-old,RNA-Seq,75,438044839,PRJNA524006,SAMN10995012,168773640,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416233,GSM3619430,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619430,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617302,8-week-old,RNA-Seq,75,430664428,PRJNA524006,SAMN10995012,165859713,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416233,GSM3619430,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619430,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617303,8-week-old,RNA-Seq,75,443050361,PRJNA524006,SAMN10995012,171481325,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416233,GSM3619430,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619430,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617304,8-week-old,RNA-Seq,75,443341617,PRJNA524006,SAMN10995012,171884992,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416233,GSM3619430,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619430,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617305,8-week-old,RNA-Seq,75,436648677,PRJNA524006,SAMN10995011,166883190,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416234,GSM3619431,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619431,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617306,8-week-old,RNA-Seq,75,428827386,PRJNA524006,SAMN10995011,163842384,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416234,GSM3619431,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619431,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617307,8-week-old,RNA-Seq,75,442279958,PRJNA524006,SAMN10995011,169822273,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416234,GSM3619431,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619431,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617308,8-week-old,RNA-Seq,75,442845715,PRJNA524006,SAMN10995011,170393524,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416234,GSM3619431,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Sinorhizobium meliloti,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619431,whole root nodules,SRP186731,root nodule,Jemalong A17,Rm1021,,
SRR8617309,8-week-old,RNA-Seq,75,403911579,PRJNA524006,SAMN10995010,158021229,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416235,GSM3619432,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619432,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617310,8-week-old,RNA-Seq,75,394168028,PRJNA524006,SAMN10995010,154263120,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416235,GSM3619432,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619432,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617311,8-week-old,RNA-Seq,75,405816325,PRJNA524006,SAMN10995010,159643444,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416235,GSM3619432,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619432,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617312,8-week-old,RNA-Seq,75,405428323,PRJNA524006,SAMN10995010,159650200,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416235,GSM3619432,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619432,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617313,8-week-old,RNA-Seq,75,432286412,PRJNA524006,SAMN10995009,165820032,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416236,GSM3619433,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619433,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617314,8-week-old,RNA-Seq,75,424176125,PRJNA524006,SAMN10995009,162659355,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416236,GSM3619433,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619433,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617315,8-week-old,RNA-Seq,75,437062872,PRJNA524006,SAMN10995009,168480017,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416236,GSM3619433,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619433,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617316,8-week-old,RNA-Seq,75,436901063,PRJNA524006,SAMN10995009,168706207,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416236,GSM3619433,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Lotus japonicus,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619433,whole root systems,SRP186731,root,,,,Gifu B-129
SRR8617317,8-week-old,RNA-Seq,75,410237926,PRJNA524006,SAMN10995008,160702844,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416237,GSM3619434,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619434,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617318,8-week-old,RNA-Seq,75,401066259,PRJNA524006,SAMN10995008,157171862,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416237,GSM3619434,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619434,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617319,8-week-old,RNA-Seq,75,412800824,PRJNA524006,SAMN10995008,162599446,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416237,GSM3619434,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619434,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617320,8-week-old,RNA-Seq,75,411966432,PRJNA524006,SAMN10995008,162547167,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416237,GSM3619434,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619434,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617321,8-week-old,RNA-Seq,75,439888114,PRJNA524006,SAMN10995007,169537929,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416238,GSM3619435,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619435,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617322,8-week-old,RNA-Seq,75,431498065,PRJNA524006,SAMN10995007,166306958,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416238,GSM3619435,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619435,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617323,8-week-old,RNA-Seq,75,445057884,PRJNA524006,SAMN10995007,172424015,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416238,GSM3619435,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619435,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617324,8-week-old,RNA-Seq,75,445246738,PRJNA524006,SAMN10995007,172894849,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416238,GSM3619435,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619435,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617325,8-week-old,RNA-Seq,75,445870613,PRJNA524006,SAMN10995006,172383474,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416239,GSM3619436,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619436,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617326,8-week-old,RNA-Seq,75,437591733,PRJNA524006,SAMN10995006,169132643,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416239,GSM3619436,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619436,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617327,8-week-old,RNA-Seq,75,451364277,PRJNA524006,SAMN10995006,175336638,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416239,GSM3619436,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619436,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617328,8-week-old,RNA-Seq,75,451189332,PRJNA524006,SAMN10995006,175654802,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416239,GSM3619436,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619436,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617329,8-week-old,RNA-Seq,75,434023082,PRJNA524006,SAMN10995005,169223926,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416240,GSM3619437,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619437,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617330,8-week-old,RNA-Seq,75,427586880,PRJNA524006,SAMN10995005,166634174,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416240,GSM3619437,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619437,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617331,8-week-old,RNA-Seq,75,439973576,PRJNA524006,SAMN10995005,172291455,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416240,GSM3619437,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:21:00Z,1,GSM3619437,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
SRR8617332,8-week-old,RNA-Seq,75,440791043,PRJNA524006,SAMN10995005,172930714,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5416240,GSM3619437,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mesorhizobium japonicum MAFF 303099,ILLUMINA,2019-02-27T00:00:00Z,2019-02-24T19:22:00Z,1,GSM3619437,whole root nodules,SRP186731,root nodule,Gifu B-129,MAFF 303099,type strain of Mesorhizobium japonicum,
